individuals,individual0,individual0,individual0,individual0,individual0,individual0,individual0,individual0,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual4,individual4,individual4,individual4,individual4,individual4,individual4,individual4,individual5,individual5,individual5,individual5,individual5,individual5,individual5,individual5,individual6,individual6,individual6,individual6,individual6,individual6,individual6,individual6,individual7,individual7,individual7,individual7,individual7,individual7,individual7,individual7,individual8,individual8,individual8,individual8,individual8,individual8,individual8,individual8,individual9,individual9,individual9,individual9,individual9,individual9,individual9,individual9,individual10,individual10,individual10,individual10,individual10,individual10,individual10,individual10,individual11,individual11,individual11,individual11,individual11,individual11,individual11,individual11,individual12,individual12,individual12,individual12,individual12,individual12,individual12,individual12,individual13,individual13,individual13,individual13,individual13,individual13,individual13,individual13,individual14,individual14,individual14,individual14,individual14,individual14,individual14,individual14,individual15,individual15,individual15,individual15,individual15,individual15,individual15,individual15,individual16,individual16,individual16,individual16,individual16,individual16,individual16,individual16,individual17,individual17,individual17,individual17,individual17,individual17,individual17,individual17,individual18,individual18,individual18,individual18,individual18,individual18,individual18,individual18,individual19,individual19,individual19,individual19,individual19,individual19,individual19,individual19,individual20,individual20,individual20,individual20,individual20,individual20,individual20,individual20,individual21,individual21,individual21,individual21,individual21,individual21,individual21,individual21,individual22,individual22,individual22,individual22,individual22,individual22,individual22,individual22,individual23,individual23,individual23,individual23,individual23,individual23,individual23,individual23,individual24,individual24,individual24,individual24,individual24,individual24,individual24,individual24,individual25,individual25,individual25,individual25,individual25,individual25,individual25,individual25,individual26,individual26,individual26,individual26,individual26,individual26,individual26,individual26,individual27,individual27,individual27,individual27,individual27,individual27,individual27,individual27,individual28,individual28,individual28,individual28,individual28,individual28,individual28,individual28,individual29,individual29,individual29,individual29,individual29,individual29,individual29,individual29,individual30,individual30,individual30,individual30,individual30,individual30,individual30,individual30,individual31,individual31,individual31,individual31,individual31,individual31,individual31,individual31,individual32,individual32,individual32,individual32,individual32,individual32,individual32,individual32,individual33,individual33,individual33,individual33,individual33,individual33,individual33,individual33,individual34,individual34,individual34,individual34,individual34,individual34,individual34,individual34,individual35,individual35,individual35,individual35,individual35,individual35,individual35,individual35,individual36,individual36,individual36,individual36,individual36,individual36,individual36,individual36,individual37,individual37,individual37,individual37,individual37,individual37,individual37,individual37,individual38,individual38,individual38,individual38,individual38,individual38,individual38,individual38,individual39,individual39,individual39,individual39,individual39,individual39,individual39,individual39,individual40,individual40,individual40,individual40,individual40,individual40,individual40,individual40,individual41,individual41,individual41,individual41,individual41,individual41,individual41,individual41,individual42,individual42,individual42,individual42,individual42,individual42,individual42,individual42,individual43,individual43,individual43,individual43,individual43,individual43,individual43,individual43,individual44,individual44,individual44,individual44,individual44,individual44,individual44,individual44,individual45,individual45,individual45,individual45,individual45,individual45,individual45,individual45,individual46,individual46,individual46,individual46,individual46,individual46,individual46,individual46,individual47,individual47,individual47,individual47,individual47,individual47,individual47,individual47,individual48,individual48,individual48,individual48,individual48,individual48,individual48,individual48,individual49,individual49,individual49,individual49,individual49,individual49,individual49,individual49,individual50,individual50,individual50,individual50,individual50,individual50,individual50,individual50,individual51,individual51,individual51,individual51,individual51,individual51,individual51,individual51,individual52,individual52,individual52,individual52,individual52,individual52,individual52,individual52,individual53,individual53,individual53,individual53,individual53,individual53,individual53,individual53,individual54,individual54,individual54,individual54,individual54,individual54,individual54,individual54,individual55,individual55,individual55,individual55,individual55,individual55,individual55,individual55,individual56,individual56,individual56,individual56,individual56,individual56,individual56,individual56,individual57,individual57,individual57,individual57,individual57,individual57,individual57,individual57,individual58,individual58,individual58,individual58,individual58,individual58,individual58,individual58,individual59,individual59,individual59,individual59,individual59,individual59,individual59,individual59,individual60,individual60,individual60,individual60,individual60,individual60,individual60,individual60,individual61,individual61,individual61,individual61,individual61,individual61,individual61,individual61,individual62,individual62,individual62,individual62,individual62,individual62,individual62,individual62,individual63,individual63,individual63,individual63,individual63,individual63,individual63,individual63
96,1497.485294117647,,1251.3529411764705,,1584.0,1410.0,1338.0,1164.0,1594.4939172749391,,1766.4233576642337,,1681.0,1507.0,1853.0,1679.0,1784.6976744186047,,1336.6532769556025,,1871.0,1697.0,1423.0,1249.0,1746.409381663113,,1111.9744136460554,,1833.0,1659.0,1198.0,1024.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,1498.071942446043,,1250.5635491606715,,1585.0,1411.0,1337.0,1163.0,1593.089552238806,,1766.5248756218905,,1680.0,1506.0,1853.0,1679.0,1785.1536842105263,,1336.1936842105263,,1872.0,1698.0,1423.0,1249.0,1746.063829787234,,1113.1148936170214,,1833.0,1659.0,1200.0,1026.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,1498.8381642512077,,1249.644927536232,,1585.0,1411.0,1336.0,1162.0,1592.0,,1766.6301703163017,,1679.0,1505.0,1853.0,1679.0,1786.0169851380042,,1335.9469214437368,,1873.0,1699.0,1422.0,1248.0,1745.741935483871,,1113.9956989247312,,1832.0,1658.0,1200.0,1026.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,1499.447867298578,,1249.0758293838862,,1586.0,1412.0,1336.0,1162.0,1591.1960784313726,,1766.7205882352941,,1678.0,1504.0,1853.0,1679.0,1786.7763440860215,,1335.705376344086,,1873.0,1699.0,1422.0,1248.0,1745.5021367521367,,1114.6858974358975,,1832.0,1658.0,1201.0,1027.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,1500.4818401937046,,1248.1138014527844,,1587.0,1413.0,1335.0,1161.0,1589.6004842615012,,1766.7094430992736,,1676.0,1502.0,1853.0,1679.0,1787.8283898305085,,1335.4025423728813,,1874.0,1700.0,1422.0,1248.0,1745.3821656050955,,1115.6008492569001,,1832.0,1658.0,1202.0,1028.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,1501.5239234449762,,1247.098086124402,,1588.0,1414.0,1334.0,1160.0,1588.421568627451,,1766.6593137254902,,1675.0,1501.0,1853.0,1679.0,1788.7473684210527,,1335.12,,1875.0,1701.0,1422.0,1248.0,1745.1244725738397,,1116.409282700422,,1832.0,1658.0,1203.0,1029.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,1502.2464454976302,,1246.4218009478673,,1589.0,1415.0,1333.0,1159.0,1587.1961259079903,,1766.7796610169491,,1674.0,1500.0,1853.0,1679.0,1789.4696016771488,,1334.895178197065,,1876.0,1702.0,1421.0,1247.0,1744.5347368421053,,1118.2336842105262,,1831.0,1657.0,1205.0,1031.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,1502.9134615384614,,1246.2572115384614,,1589.0,1415.0,1333.0,1159.0,1586.0248138957816,,1766.9578163771712,,1673.0,1499.0,1853.0,1679.0,1789.9493670886077,,1334.9599156118143,,1876.0,1702.0,1421.0,1247.0,1744.1033755274261,,1119.6856540084389,,1831.0,1657.0,1206.0,1032.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,1504.1857142857143,,1245.5214285714285,,1591.0,1417.0,1332.0,1158.0,1585.1206896551723,,1767.1354679802955,,1672.0,1498.0,1854.0,1680.0,1790.5957894736841,,1334.957894736842,,1877.0,1703.0,1421.0,1247.0,1743.7100213219617,,1120.908315565032,,1830.0,1656.0,1207.0,1033.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,1505.2142857142858,,1244.9666666666667,,1592.0,1418.0,1331.0,1157.0,1583.6456310679612,,1767.0485436893205,,1670.0,1496.0,1854.0,1680.0,1791.223157894737,,1334.821052631579,,1878.0,1704.0,1421.0,1247.0,1743.0978723404255,,1122.327659574468,,1830.0,1656.0,1209.0,1035.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,1506.048426150121,,1244.094430992736,,1593.0,1419.0,1331.0,1157.0,1581.8015075376884,,1766.9899497487438,,1668.0,1494.0,1853.0,1679.0,1791.8824786324785,,1334.6303418803418,,1878.0,1704.0,1421.0,1247.0,1742.611231101512,,1123.4708423326133,,1829.0,1655.0,1210.0,1036.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,1506.9611650485438,,1243.3422330097087,,1593.0,1419.0,1330.0,1156.0,1580.9086419753087,,1767.0691358024692,,1667.0,1493.0,1854.0,1680.0,1792.1462365591399,,1334.574193548387,,1879.0,1705.0,1421.0,1247.0,1742.0235042735044,,1124.5405982905984,,1829.0,1655.0,1211.0,1037.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,1507.742092457421,,1242.7688564476887,,1594.0,1420.0,1329.0,1155.0,1579.757793764988,,1767.2637889688249,,1666.0,1492.0,1854.0,1680.0,1792.8093220338983,,1334.7118644067796,,1879.0,1705.0,1421.0,1247.0,1741.173640167364,,1126.2907949790795,,1828.0,1654.0,1213.0,1039.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,1508.2156862745098,,1242.6004901960785,,1595.0,1421.0,1329.0,1155.0,1578.7391304347825,,1767.4299516908213,,1665.0,1491.0,1854.0,1680.0,1793.296842105263,,1334.858947368421,,1880.0,1706.0,1421.0,1247.0,1740.4666666666667,,1127.65,,1827.0,1653.0,1214.0,1040.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,1508.6289926289926,,1242.2899262899264,,1595.0,1421.0,1329.0,1155.0,1578.0581113801452,,1767.3946731234867,,1665.0,1491.0,1854.0,1680.0,1794.251572327044,,1334.748427672956,,1881.0,1707.0,1421.0,1247.0,1739.9618644067796,,1128.5699152542372,,1826.0,1652.0,1215.0,1041.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,1508.6133651551313,,1242.472553699284,,1595.0,1421.0,1329.0,1155.0,1577.0048076923076,,1767.420673076923,,1664.0,1490.0,1854.0,1680.0,1795.2016806722688,,1334.6596638655462,,1882.0,1708.0,1421.0,1247.0,1739.0549682875264,,1130.0253699788584,,1826.0,1652.0,1217.0,1043.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,1508.4447115384614,,1242.8004807692307,,1595.0,1421.0,1329.0,1155.0,1576.0023923444976,,1767.4976076555024,,1663.0,1489.0,1854.0,1680.0,1795.3488372093022,,1334.7505285412262,,1882.0,1708.0,1421.0,1247.0,1738.204641350211,,1131.3713080168777,,1825.0,1651.0,1218.0,1044.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,1507.7415458937198,,1243.2367149758454,,1594.0,1420.0,1330.0,1156.0,1574.9604938271605,,1767.6864197530865,,1661.0,1487.0,1854.0,1680.0,1795.9507494646682,,1334.815845824411,,1882.0,1708.0,1421.0,1247.0,1737.6303418803418,,1132.6837606837607,,1824.0,1650.0,1219.0,1045.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
